Label,SMS,lenght,Tokens,lemmatized_text,SMS_without_stopwords,processed_text
0,"i am gonna be home soon and i do not want to talk about this stuff anymore tonight, k? i've cried enough today.",109,"['i', 'am', 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'do', 'not', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'i', ""'ve"", 'cried', 'enough', 'today', '.']","['i', 'be', 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'do', 'not', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'i', ""'ve"", 'cry', 'enough', 'today', '.']","gonna home soon want talk stuff anymore tonight, k? i've cried enough today.","i am gonna be home soon and i do not want to talk about this stuff anymore tonight, k? i've cried enough today."
1,"six chances to win cash! from 100 to 20,000 pounds text> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl for info",136,"['six', 'chances', 'to', 'win', 'cash', '!', 'from', '100', 'to', '20,000', 'pounds', 'text', '>', 'csh11', 'and', 'send', 'to', '87575.', 'cost', '150p/day', ',', '6days', ',', '16+', 'tsandcs', 'apply', 'reply', 'hl', 'for', 'info']","['six', 'chance', 'to', 'win', 'cash', '!', 'from', '100', 'to', '20,000', 'pound', 'text', '>', 'csh11', 'and', 'send', 'to', '87575.', 'cost', '150p/day', ',', '6days', ',', '16+', 'tsandcs', 'apply', 'reply', 'hl', 'for', 'info']","six chances win cash! 100 20,000 pounds text> csh11 send 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl info","six chances to win cash! from 100 to 20,000 pounds text> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl for info"
1,"urgent! you have won a one week free membership in our £100,000 prize jackpot! text the word: claim to no: 81010 tandc www.dbuk.net lccltd pobox 4403ldnw1a7rw18",155,"['urgent', '!', 'you', 'have', 'won', 'a', 'one', 'week', 'free', 'membership', 'in', 'our', '£100,000', 'prize', 'jackpot', '!', 'text', 'the', 'word', ':', 'claim', 'to', 'no', ':', '81010', 'tandc', 'www.dbuk.net', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', '!', 'you', 'have', 'won', 'a', 'one', 'week', 'free', 'membership', 'in', 'our', '£100,000', 'prize', 'jackpot', '!', 'text', 'the', 'word', ':', 'claim', 'to', 'no', ':', '81010', 'tandc', 'www.dbuk.net', 'lccltd', 'pobox', '4403ldnw1a7rw18']","urgent! one week free membership £100,000 prize jackpot! text word: claim no: 81010 tandc www.dbuk.net lccltd pobox 4403ldnw1a7rw18","urgent! you have won a one week free membership in our £100,000 prize jackpot! text the word: claim to no: 81010 tandc www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
0,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.,196,"['i', ""'ve"", 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', '.', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', '.', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times', '.']","['i', ""'ve"", 'be', 'search', 'for', 'the', 'right', 'word', 'to', 'thank', 'you', 'for', 'this', 'breather', '.', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'grant', 'and', 'will', 'fulfil', 'my', 'promise', '.', 'you', 'have', 'be', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'time', '.']",i've searching right words thank breather. promise wont take help granted fulfil promise. wonderful blessing times.,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.
0,i have a date on sunday with will!!,35,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will', '!', '!']","['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will', '!', '!']",date sunday will!!,i have a date on sunday with will!!
1,"xxxmobilemovieclub: to use your credit, click the wap link in the next text message or click here>> http://wap. xxxmobilemovieclub.com?no=qjkgighjjgcbl",149,"['xxxmobilemovieclub', ':', 'to', 'use', 'your', 'credit', ',', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'text', 'message', 'or', 'click', 'here', '>', '>', 'http', ':', '//wap', '.', 'xxxmobilemovieclub.com', '?', 'no=qjkgighjjgcbl']","['xxxmobilemovieclub', ':', 'to', 'use', 'your', 'credit', ',', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'text', 'message', 'or', 'click', 'here', '>', '>', 'http', ':', '//wap', '.', 'xxxmobilemovieclub.com', '?', 'no=qjkgighjjgcbl']","xxxmobilemovieclub: use credit, click wap link next text message click here>> http://wap. xxxmobilemovieclub.com?no=qjkgighjjgcbl","xxxmobilemovieclub: to use your credit, click the wap link in the next text message or click here>> http://wap. xxxmobilemovieclub.com?no=qjkgighjjgcbl"
0,oh k...i am watching here:),26,"['oh', 'k', '...', 'i', 'am', 'watching', 'here', ':', ')']","['oh', 'k', '...', 'i', 'be', 'watch', 'here', ':', ')']",oh k...i watching here:),oh k...i am watching here:)
0,eh you remember how to spell his name... yes i did. he v naughty make until i v wet.,81,"['eh', 'you', 'remember', 'how', 'to', 'spell', 'his', 'name', '...', 'yes', 'i', 'did', '.', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet', '.']","['eh', 'you', 'remember', 'how', 'to', 'spell', 'his', 'name', '...', 'yes', 'i', 'do', '.', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet', '.']",eh remember spell name... yes did. v naughty make v wet.,eh you remember how to spell his name... yes i did. he v naughty make until i v wet.
0,fine if thats the way you feel. thats the way it is gota b,56,"['fine', 'if', 'that\x92s', 'the', 'way', 'you', 'feel', '.', 'that\x92s', 'the', 'way', 'it', 'is', 'gota', 'b']","['fine', 'if', 'that\x92s', 'the', 'way', 'you', 'feel', '.', 'that\x92s', 'the', 'way', 'it', 'be', 'gota', 'b']",fine thats way feel. thats way gota b,fine if thats the way you feel. thats the way it is gota b
1,"england v macedonia - do not miss the goals/team news. text your national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+",155,"['england', 'v', 'macedonia', '-', 'do', 'not', 'miss', 'the', 'goals/team', 'news', '.', 'text', 'your', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'try', ':', 'wales', ',', 'scotland', '4txt/ú1.20', 'poboxox36504w45wq', '16+']","['england', 'v', 'macedonia', '-', 'do', 'not', 'miss', 'the', 'goals/team', 'news', '.', 'text', 'your', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'try', ':', 'wale', ',', 'scotland', '4txt/ú1.20', 'poboxox36504w45wq', '16+']","england v macedonia - miss goals/team news. text national team 87077 eg england 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+","england v macedonia - do not miss the goals/team news. text your national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+"
0,is that seriously how you spell his name?,41,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name', '?']","['be', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name', '?']",seriously spell name?,is that seriously how you spell his name?
0,i‘i am going to try for to months ha ha only joking,47,"['i', '‘', 'i', 'am', 'going', 'to', 'try', 'for', 'to', 'months', 'ha', 'ha', 'only', 'joking']","['i', '‘', 'i', 'be', 'go', 'to', 'try', 'for', 'to', 'month', 'ha', 'ha', 'only', 'joking']",i‘i going try months ha ha joking,i‘i am going to try for to months ha ha only joking
0,so you pay first lar... then when is da stock comin...,52,"['so', 'you', 'pay', 'first', 'lar', '...', 'then', 'when', 'is', 'da', 'stock', 'comin', '...']","['so', 'you', 'pay', 'first', 'lar', '...', 'then', 'when', 'be', 'da', 'stock', 'comin', '...']",pay first lar... da stock comin...,so you pay first lar... then when is da stock comin...
0,aft i finish my lunch then i gone str down lot. ard 3 smth lot. you finish your lunch already?,88,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'gone', 'str', 'down', 'lot', '.', 'ard', '3', 'smth', 'lot', '.', 'you', 'finish', 'your', 'lunch', 'already', '?']","['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lot', '.', 'ard', '3', 'smth', 'lot', '.', 'you', 'finish', 'your', 'lunch', 'already', '?']",aft finish lunch gone str lot. ard 3 smth lot. finish lunch already?,aft i finish my lunch then i gone str down lot. ard 3 smth lot. you finish your lunch already?
0,ffffffffff. alright no way i can meet up with you sooner?,57,"['ffffffffff', '.', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner', '?']","['ffffffffff', '.', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner', '?']",ffffffffff. alright way meet sooner?,ffffffffff. alright no way i can meet up with you sooner?
0,just forced myself to eat a slice. i am really not hungry tho. this sucks. mark is getting worried. he knows i am sick when i turn down pizza. lol,144,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', '.', 'i', 'am', 'really', 'not', 'hungry', 'tho', '.', 'this', 'sucks', '.', 'mark', 'is', 'getting', 'worried', '.', 'he', 'knows', 'i', 'am', 'sick', 'when', 'i', 'turn', 'down', 'pizza', '.', 'lol']","['just', 'force', 'myself', 'to', 'eat', 'a', 'slice', '.', 'i', 'be', 'really', 'not', 'hungry', 'tho', '.', 'this', 'suck', '.', 'mark', 'be', 'get', 'worried', '.', 'he', 'know', 'i', 'be', 'sick', 'when', 'i', 'turn', 'down', 'pizza', '.', 'lol']",forced eat slice. really hungry tho. sucks. mark getting worried. knows sick turn pizza. lol,just forced myself to eat a slice. i am really not hungry tho. this sucks. mark is getting worried. he knows i am sick when i turn down pizza. lol
0,lol your always so convincing.,30,"['lol', 'your', 'always', 'so', 'convincing', '.']","['lol', 'your', 'always', 'so', 'convincing', '.']",lol always convincing.,lol your always so convincing.
0,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your momis left over dinner ? do you feel my love ?,134,"['did', 'you', 'catch', 'the', 'bus', '?', 'are', 'you', 'frying', 'an', 'egg', '?', 'did', 'you', 'make', 'a', 'tea', '?', 'are', 'you', 'eating', 'your', 'momis', 'left', 'over', 'dinner', '?', 'do', 'you', 'feel', 'my', 'love', '?']","['do', 'you', 'catch', 'the', 'bus', '?', 'be', 'you', 'fry', 'an', 'egg', '?', 'do', 'you', 'make', 'a', 'tea', '?', 'be', 'you', 'eat', 'your', 'momis', 'left', 'over', 'dinner', '?', 'do', 'you', 'feel', 'my', 'love', '?']",catch bus ? frying egg ? make tea? eating momis left dinner ? feel love ?,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your momis left over dinner ? do you feel my love ?
0,"i am back  we're packing the car now, i will let you know if thereis room",75,"['i', 'am', 'back', 'we', ""'re"", 'packing', 'the', 'car', 'now', ',', 'i', 'will', 'let', 'you', 'know', 'if', 'thereis', 'room']","['i', 'be', 'back', 'we', ""'re"", 'pack', 'the', 'car', 'now', ',', 'i', 'will', 'let', 'you', 'know', 'if', 'thereis', 'room']","back we're packing car now, let know thereis room","i am back  we're packing the car now, i will let you know if thereis room"
0,ahhh. work. i vaguely remember that! what does it feel like? lol,64,"['ahhh', '.', 'work', '.', 'i', 'vaguely', 'remember', 'that', '!', 'what', 'does', 'it', 'feel', 'like', '?', 'lol']","['ahhh', '.', 'work', '.', 'i', 'vaguely', 'remember', 'that', '!', 'what', 'do', 'it', 'feel', 'like', '?', 'lol']",ahhh. work. vaguely remember that! feel like? lol,ahhh. work. i vaguely remember that! what does it feel like? lol
0,"wait thatis still not all that clear, were you not sure about me being sarcastic or that thatis why x doesn't want to live with us",130,"['wait', 'thatis', 'still', 'not', 'all', 'that', 'clear', ',', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thatis', 'why', 'x', 'does', ""n't"", 'want', 'to', 'live', 'with', 'us']","['wait', 'thatis', 'still', 'not', 'all', 'that', 'clear', ',', 'be', 'you', 'not', 'sure', 'about', 'me', 'be', 'sarcastic', 'or', 'that', 'thatis', 'why', 'x', 'do', ""n't"", 'want', 'to', 'live', 'with', 'u']","wait thatis still clear, sure sarcastic thatis x want live us","wait thatis still not all that clear, were you not sure about me being sarcastic or that thatis why x doesn't want to live with us"
0,yeah he got in at to and was v apologetic. no had fallen out and she was actin like spoilt child and he got caught up in that. till to! but we won't gone there! not doing too badly cheers. you? ,189,"['yeah', 'he', 'got', 'in', 'at', 'to', 'and', 'was', 'v', 'apologetic', '.', 'no', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', '.', 'till', 'to', '!', 'but', 'we', 'wo', ""n't"", 'gone', 'there', '!', 'not', 'doing', 'too', 'badly', 'cheers', '.', 'you', '?']","['yeah', 'he', 'get', 'in', 'at', 'to', 'and', 'be', 'v', 'apologetic', '.', 'no', 'have', 'fall', 'out', 'and', 'she', 'be', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'get', 'caught', 'up', 'in', 'that', '.', 'till', 'to', '!', 'but', 'we', 'wo', ""n't"", 'go', 'there', '!', 'not', 'do', 'too', 'badly', 'cheer', '.', 'you', '?']",yeah got v apologetic. fallen actin like spoilt child got caught that. till to! gone there! badly cheers. you?,yeah he got in at to and was v apologetic. no had fallen out and she was actin like spoilt child and he got caught up in that. till to! but we won't gone there! not doing too badly cheers. you? 
0,k tell me anything about you.,29,"['k', 'tell', 'me', 'anything', 'about', 'you', '.']","['k', 'tell', 'me', 'anything', 'about', 'you', '.']",k tell anything you.,k tell me anything about you.
0,for fear of fainting with the of all that housework you just did? quick have a cuppa,84,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', '?', 'quick', 'have', 'a', 'cuppa']","['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'do', '?', 'quick', 'have', 'a', 'cuppa']",fear fainting housework did? quick cuppa,for fear of fainting with the of all that housework you just did? quick have a cuppa
1,thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged,158,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', '£5/month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', '.', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']","['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charge', '£5/month', 'please', 'confirm', 'by', 'reply', 'yes', 'or', 'no', '.', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charge']",thanks subscription ringtone uk mobile charged £5/month please confirm replying yes no. reply charged,thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged
0,yup... ok i gone home look at the timings then i message you again... xuhui going to learn on second may too but her lesson is at 8am,122,"['yup', '...', 'ok', 'i', 'gone', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'message', 'you', 'again', '...', 'xuhui', 'going', 'to', 'learn', 'on', 'second', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']","['yup', '...', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timing', 'then', 'i', 'message', 'you', 'again', '...', 'xuhui', 'go', 'to', 'learn', 'on', 'second', 'may', 'too', 'but', 'her', 'lesson', 'be', 'at', '8am']",yup... ok gone home look timings message again... xuhui going learn second may lesson 8am,yup... ok i gone home look at the timings then i message you again... xuhui going to learn on second may too but her lesson is at 8am
0,"oops, i will let you know when my roommateis done",47,"['oops', ',', 'i', 'will', 'let', 'you', 'know', 'when', 'my', 'roommateis', 'done']","['oops', ',', 'i', 'will', 'let', 'you', 'know', 'when', 'my', 'roommateis', 'do']","oops, let know roommateis done","oops, i will let you know when my roommateis done"
0,i see the letter b on my car,28,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']","['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']",see letter b car,i see the letter b on my car
0,anything lot... you decide...,27,"['anything', 'lot', '...', 'you', 'decide', '...']","['anything', 'lot', '...', 'you', 'decide', '...']",anything lot... decide...,anything lot... you decide...
0,hello! howis you and how did saturday gone? i was just texting to see if you'd decided to do anything tomo. not that i am trying to invite myself or anything!,155,"['hello', '!', 'howis', 'you', 'and', 'how', 'did', 'saturday', 'gone', '?', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', 'you', ""'d"", 'decided', 'to', 'do', 'anything', 'tomo', '.', 'not', 'that', 'i', 'am', 'trying', 'to', 'invite', 'myself', 'or', 'anything', '!']","['hello', '!', 'howis', 'you', 'and', 'how', 'do', 'saturday', 'go', '?', 'i', 'be', 'just', 'texting', 'to', 'see', 'if', 'you', ""'d"", 'decide', 'to', 'do', 'anything', 'tomo', '.', 'not', 'that', 'i', 'be', 'try', 'to', 'invite', 'myself', 'or', 'anything', '!']",hello! howis saturday gone? texting see decided anything tomo. trying invite anything!,hello! howis you and how did saturday gone? i was just texting to see if you'd decided to do anything tomo. not that i am trying to invite myself or anything!
0,please gone ahead with watts. i just wanted to be sure. do have a great weekend. abiola,82,"['please', 'gone', 'ahead', 'with', 'watts', '.', 'i', 'just', 'wanted', 'to', 'be', 'sure', '.', 'do', 'have', 'a', 'great', 'weekend', '.', 'abiola']","['please', 'go', 'ahead', 'with', 'watt', '.', 'i', 'just', 'want', 'to', 'be', 'sure', '.', 'do', 'have', 'a', 'great', 'weekend', '.', 'abiola']",please gone ahead watts. wanted sure. great weekend. abiola,please gone ahead with watts. i just wanted to be sure. do have a great weekend. abiola
0,"did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy",142,"['did', 'i', 'forget', 'to', 'tell', 'you', '?', 'i', 'want', 'you', ',', 'i', 'need', 'you', ',', 'i', 'crave', 'you', '...', 'but', 'most', 'of', 'all', '...', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', '...', 'mmmmmm', '...', 'yummy']","['do', 'i', 'forget', 'to', 'tell', 'you', '?', 'i', 'want', 'you', ',', 'i', 'need', 'you', ',', 'i', 'crave', 'you', '...', 'but', 'most', 'of', 'all', '...', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', '...', 'mmmmmm', '...', 'yummy']","forget tell ? want , need you, crave ... ... love sweet arabian steed ... mmmmmm ... yummy","did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy"
1,07732584351 - rodger burns - message = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,172,"['07732584351', '-', 'rodger', 'burns', '-', 'message', '=', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', '+', 'free', 'camcorder', '.', 'please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']","['07732584351', '-', 'rodger', 'burn', '-', 'message', '=', 'we', 'try', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sm', 'for', 'a', 'free', 'nokia', 'mobile', '+', 'free', 'camcorder', '.', 'please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']",07732584351 - rodger burns - message = tried call reply sms free nokia mobile + free camcorder. please call 08000930705 delivery tomorrow,07732584351 - rodger burns - message = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow
0,who are you seeing?,19,"['who', 'are', 'you', 'seeing', '?']","['who', 'be', 'you', 'see', '?']",seeing?,who are you seeing?
0,great! i hope you like your man well endowed. i am    inches...,72,"['great', '!', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', '.', 'i', 'am', 'inches', '...']","['great', '!', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endow', '.', 'i', 'be', 'inch', '...']",great! hope like man well endowed. inches...,great! i hope you like your man well endowed. i am    inches...
0,no calls..messages..missed calls,32,"['no', 'calls', '..', 'messages', '..', 'missed', 'calls']","['no', 'call', '..', 'message', '..', 'miss', 'call']",calls..messages..missed calls,no calls..messages..missed calls
0,didn't you get hep b immunisation in nigeria.,45,"['did', ""n't"", 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria', '.']","['do', ""n't"", 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria', '.']",get hep b immunisation nigeria.,didn't you get hep b immunisation in nigeria.
0,"fair enough, anything going on?",31,"['fair', 'enough', ',', 'anything', 'going', 'on', '?']","['fair', 'enough', ',', 'anything', 'go', 'on', '?']","fair enough, anything going on?","fair enough, anything going on?"
